SYSTEM,,NAME,#,MODELNO.,MANUFACTURER,SERVICE,TYPE,LOCATION,FILE
,,,,,,,,,
WATER COOLED CHILLER,,CH,2,YVWANCNEFEAE0250SA,YORK,"AHU 1-1, AHU 1-2 AHU B-1",WATER COOLED SCREW,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
AIR COOLED CHILLER,,ACC,1,MPC-A 5000-SP,MOTIVAIR,"OR SUB-COOLING (AHU 1-1)
",HERMETIC SCROLL,LEVEL 02,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
BOILER HOT WATER FOSSIL FUEL,,B,3,H9-902B,RAYPAK HI DELTA,MOB HHW,2-STAGE GAS BURNER,BOILER ROOM,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
BOILER HOT WATER FOSSIL FUEL,,B,4,H9-1532B,RAYPAK HI DELTA,ASU HHW,4-STAGE GAS BURNER,BOILER ROOM,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
BOILER HOT WATER FOSSIL FUEL,,B,5,H9-1532B,RAYPAK HI DELTA,ASU HHW,4-STAGE GAS BURNER,BOILER ROOM,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
AIR SEPARATOR,,AS,1,ROLAIRTROL RL-2,Bell & Gossett,MOB HHW,N/A,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
AIR SEPARATOR,,AS,2,ROLAIRTROL RL-5(G),Bell & Gossett,CHW,N/A,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
AIR SEPARATOR,,AS,3,ROLAIRTROL RL-2 1/2,Bell & Gossett,ASU HHW,N/A,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
EXPANSION TANK DIAPHRAGM,,ET,1,B-400,Bell & Gossett,MOB HHW,N/A,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
EXPANSION TANK DIAPHRAGM,,ET,2,B-300,Bell & Gossett,CHW,N/A,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
EXPANSION TANK DIAPHRAGM,,ET,3,B-200,Bell & Gossett,ASU HHW,N/A,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
EXPANSION TANK DIAPHRAGM,,ET,4,AX-15V,ARMSTRONG,ACC-1,N/A,LEVEL 02,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
PUMPS WATER ,,P,3,End Suction Base Mounted,ARMSTRONG FLUID  TECHONOLOGY,CHW PRIMARY,END SUCTION,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
PUMPS WATER ,,P,13,End Suction Base Mounted,ARMSTRONG FLUID  TECHONOLOGY,CHW SECONDARY,END SUCTION,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
PUMPS WATER ,,P,24,End Suction Base Mounted,ARMSTRONG FLUID  TECHONOLOGY,ASU HHW SECONDARY PUMPS,END SUCTION WITH PARALLEL SENSORLESS CONTROLLER,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
PUMPS WATER ,,P,25,End Suction Base Mounted,ARMSTRONG FLUID  TECHONOLOGY,ASU HHW SECONDARY PUMPS,END SUCTION WITH PARALLEL SENSORLESS CONTROLLER,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
PUMPS WATER ,,P,26,End Suction Base Mounted,ARMSTRONG FLUID  TECHONOLOGY,ASU HHW SECONDARY PUMPS,END SUCTION WITH PARALLEL SENSORLESS CONTROLLER,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
PUMPS WATER ,,P,27,ASTRO MULTISPEED,ARMSTRONG FLUID  TECHONOLOGY,CHW TERTIARY, INLINE CIRCULATOR,BASEMENT,https://drive.google.com/a/3dves.com/file/d/17U8NS4OTM3JvRYWtYOFIAnNSFLSvBGNe/view?usp=sharing
